Anno,Provincia,Mese,Macro Tipologia,Provenienza,Arrivi,Presenze
2023,Cagliari,1,Alberghiero,Italia,900,2700
2023,Cagliari,1,Alberghiero,Germania,400,1600
2023,Cagliari,1,Extralberghiero,Italia,900,2700
2023,Cagliari,1,Extralberghiero,Germania,400,1600
2023,Cagliari,2,Alberghiero,Italia,900,2700
2023,Cagliari,2,Alberghiero,Germania,400,1600
2023,Cagliari,2,Extralberghiero,Italia,900,2700
2023,Cagliari,2,Extralberghiero,Germania,400,1600
2023,Cagliari,3,Alberghiero,Italia,900,2700
2023,Cagliari,3,Alberghiero,Germania,400,1600
2023,Cagliari,3,Extralberghiero,Italia,900,2700
2023,Cagliari,3,Extralberghiero,Germania,400,1600
2023,Cagliari,4,Alberghiero,Italia,900,2700
2023,Cagliari,4,Alberghiero,Germania,400,1600
2023,Cagliari,4,Extralberghiero,Italia,900,2700
2023,Cagliari,4,Extralberghiero,Germania,400,1600
2023,Cagliari,5,Alberghiero,Italia,900,2700
2023,Cagliari,5,Alberghiero,Germania,400,1600
2023,Cagliari,5,Extralberghiero,Italia,900,2700
2023,Cagliari,5,Extralberghiero,Germania,400,1600
2023,Cagliari,6,Alberghiero,Italia,900,2700
2023,Cagliari,6,Alberghiero,Germania,400,1600
2023,Cagliari,6,Extralberghiero,Italia,900,2700
2023,Cagliari,6,Extralberghiero,Germania,400,1600
2023,Cagliari,7,Alberghiero,Italia,2500,10000
2023,Cagliari,7,Alberghiero,Germania,1200,4800
2023,Cagliari,7,Extralberghiero,Italia,2500,10000
2023,Cagliari,7,Extralberghiero,Germania,1200,4800
2023,Cagliari,8,Alberghiero,Italia,2500,10000
2023,Cagliari,8,Alberghiero,Germania,1200,4800
2023,Cagliari,8,Extralberghiero,Italia,2500,10000
2023,Cagliari,8,Extralberghiero,Germania,1200,4800
2023,Cagliari,9,Alberghiero,Italia,2500,10000
2023,Cagliari,9,Alberghiero,Germania,1200,4800
2023,Cagliari,9,Extralberghiero,Italia,2500,10000
2023,Cagliari,9,Extralberghiero,Germania,1200,4800
2023,Cagliari,10,Alberghiero,Italia,900,2700
2023,Cagliari,10,Alberghiero,Germania,400,1600
2023,Cagliari,10,Extralberghiero,Italia,900,2700
2023,Cagliari,10,Extralberghiero,Germania,400,1600
2023,Cagliari,11,Alberghiero,Italia,900,2700
2023,Cagliari,11,Alberghiero,Germania,400,1600
2023,Cagliari,11,Extralberghiero,Italia,900,2700
2023,Cagliari,11,Extralberghiero,Germania,400,1600
2023,Cagliari,12,Alberghiero,Italia,900,2700
2023,Cagliari,12,Alberghiero,Germania,400,1600
2023,Cagliari,12,Extralberghiero,Italia,900,2700
2023,Cagliari,12,Extralberghiero,Germania,400,1600
2023,Sassari,1,Alberghiero,Italia,450,1800
2023,Sassari,1,Alberghiero,Germania,180,720
2023,Sassari,1,Extralberghiero,Italia,450,1800
2023,Sassari,1,Extralberghiero,Germania,180,720
2023,Sassari,2,Alberghiero,Italia,450,1800
2023,Sassari,2,Alberghiero,Germania,180,720
2023,Sassari,2,Extralberghiero,Italia,450,1800
2023,Sassari,2,Extralberghiero,Germania,180,720
2023,Sassari,3,Alberghiero,Italia,450,1800
2023,Sassari,3,Alberghiero,Germania,180,720
2023,Sassari,3,Extralberghiero,Italia,450,1800
2023,Sassari,3,Extralberghiero,Germania,180,720
2023,Sassari,4,Alberghiero,Italia,450,1800
2023,Sassari,4,Alberghiero,Germania,180,720
2023,Sassari,4,Extralberghiero,Italia,450,1800
2023,Sassari,4,Extralberghiero,Germania,180,720
2023,Sassari,5,Alberghiero,Italia,450,1800
2023,Sassari,5,Alberghiero,Germania,180,720
2023,Sassari,5,Extralberghiero,Italia,450,1800
2023,Sassari,5,Extralberghiero,Germania,180,720
2023,Sassari,6,Alberghiero,Italia,450,1800
2023,Sassari,6,Alberghiero,Germania,180,720
2023,Sassari,6,Extralberghiero,Italia,450,1800
2023,Sassari,6,Extralberghiero,Germania,180,720
